	CNV	Protien	slope	intercept	rValue	pValue	stdErr
154	ANKRD46	ARHGAP1	-0.3599300457132309	0.7516390179010215	-0.49550008237630155	6.530105498497906e-09	0.05759801518570465
192	ANKRD46	ATAD2	0.22652863884045205	0.708022100188044	0.5345954873541687	2.2615285399627644e-10	0.03269034148840252
258	ANKRD46	BOP1	0.4041508304862717	0.6437218776657028	0.5100750779603619	1.9583721475837273e-09	0.06221323491964731
329	ANKRD46	CAPNS1	-0.41812222864056475	0.7332923286745687	-0.5007902146866434	4.245348823408822e-09	0.06597180077128215
592	ANKRD46	DCAF13	0.39373424699451437	0.6962236073503141	0.4914867258594216	9.009244894845573e-09	0.06368858775174079
772	ANKRD46	ESRP1	0.36346584378291	0.706308995072169	0.5775545983357424	3.298406731951978e-12	0.04689833547511408
982	ANKRD46	GRHL2	0.4224383837230447	0.6178470101803856	0.5538426253033965	3.664848301742602e-11	0.05797408801448958
984	ANKRD46	GRPEL1	0.29950486177860053	0.5733283366892646	0.49148891899846253	9.007670784479238e-09	0.048446203474223515
986	ANKRD46	GRWD1	0.4489179429727893	0.5951728840192521	0.48822076206739395	1.1670988375904494e-08	0.07325463488681976
1030	ANKRD46	HGH1	0.4434745099870357	0.5852216341936691	0.6021547983035749	2.1918045716647766e-13	0.05367588178693287
1051	ANKRD46	HSF1	0.45196271728720133	0.6084007502467574	0.6236305884565968	1.6872647520436084e-14	0.051717241406626265
1432	ANKRD46	MTERF3	0.2761788976353097	0.6472371532146243	0.5760306980282679	3.8729785081974696e-12	0.03577698858777723
1502	ANKRD46	NDUFAF6	0.30863261839657996	0.5374537843579514	0.49463697631525627	7.000525908823627e-09	0.04950330718033045
1579	ANKRD46	NUDCD1	0.3860100324103769	0.7202772618076555	0.6156005671781734	4.5029478112830514e-14	0.045109428545130274
1614	ANKRD46	OTUD6B	0.35012878504668293	0.726428621429731	0.5794428634341607	2.700147845874438e-12	0.04495634950021505
1621	ANKRD46	PABPC1	0.6459914573666531	0.5665551021887881	0.5103103201608923	1.9197757181960553e-09	0.09937917137733106
1781	ANKRD46	POP1	0.37490803448348736	0.7059121938459654	0.4949754160649088	6.812312520305877e-09	0.060079150127397105
1883	ANKRD46	PUF60	0.6129241487888959	0.5241304023833302	0.526818654693837	4.5694389304216136e-10	0.0902739614255952
1934	ANKRD46	RB1CC1	0.44744203675069766	0.6099590258987396	0.5355854418226376	2.065184425075483e-10	0.06440317859112883
1981	ANKRD46	RIDA	0.2095887313021853	0.5878011084600336	0.5158198419058136	1.1992095617553219e-09	0.031776535782488464
2271	ANKRD46	TAF2	0.41003946334906566	0.6518803390077872	0.5152398892910385	1.2606023761632485e-09	0.062262949568925995
2335	ANKRD46	TIMM13	0.32747514395737054	0.5277597229087446	0.49343366268355227	7.710981152795985e-09	0.05269508091852269
2341	ANKRD46	TIMM8A	0.35043594524881233	0.5665640687340162	0.4934999859504932	7.670083603681449e-09	0.0563797598008648
2399	ANKRD46	TPD52	0.24860271043538468	0.7018786507265088	0.5527992160033796	4.056951313848492e-11	0.03421028935529271
2488	ANKRD46	UBR5	0.9458345194425557	0.5408744950520764	0.5929959499720997	6.178184732031627e-13	0.11724099919323415
2540	ANKRD46	VCPIP1	0.4964007656977699	0.47150046907622445	0.5614160427972497	1.7338849255797445e-11	0.06679480564090474
2619	ANKRD46	YTHDF3	0.5485323315054877	0.5788511310983889	0.5762533905321289	3.783345824646182e-12	0.07101731507963097
2621	ANKRD46	YWHAZ	0.6631302491883825	0.6151125389194129	0.6228783140957739	1.8520032037167784e-14	0.07603065587798187
2623	ANKRD46	ZBTB10	0.267399323695449	0.7369951349157203	0.5811143862519287	2.259340128440209e-12	0.03418514466494826
2654	ANKRD46	ZNF706	0.40248637836377	0.6938172297415046	0.6681157681759524	4.2174638505033094e-17	0.04091807984949976
2708	AGO2	AGO2	0.6091616557093803	0.47222723783609627	0.49626230115826364	6.140041120852941e-09	0.09728295282803737
2835	AGO2	ATAD2	0.2732505331700676	0.7541292569413948	0.5624671820719535	1.560473285555459e-11	0.03666772587258198
