	CNV	Protien	slope	intercept	rValue	pValue	stdErr
292	BIRC7	CHMP4B	0.37982753875667474	-0.037776251781379985	0.5392799113454843	1.2134217478453946e-09	0.05707392026630777
1720	BIRC7	STAU1	0.5042587334259544	0.0033923744777047612	0.5709628760697566	7.370224912925522e-11	0.06976925361049899
2247	C8orf76	DERL1	0.22738254175265268	-0.04474226650250601	0.5113875409671719	1.1358767792489122e-08	0.036767600093170864
2412	C8orf76	GSDMD	0.4644791869123009	-0.0974042095770464	0.5476881990451699	5.935626771443148e-10	0.0682781416263404
2708	C8orf76	PABPC1	0.7209045164655181	-0.09160161717584481	0.5184002589654358	6.596517096733612e-09	0.1144292142453638
2789	C8orf76	POP1	0.6289429151895048	-0.07032352365658473	0.5338298320726994	1.908904159983831e-09	0.09586439610485425
2846	C8orf76	PYCR3	0.43825100710251547	-0.03000593339603748	0.5396964057888042	1.1717362855359163e-09	0.06578111797795248
3647	AZIN1	GSDMD	0.4615091519616479	-0.0935714023798581	0.5440439875005849	8.111690605723192e-10	0.06848977392739355
3812	AZIN1	MTDH	0.3865221376714859	-0.04566088196000996	0.5040227041231046	1.9839425926837023e-08	0.06373389922232411
3905	AZIN1	PABPC1	0.7068541423097633	-0.08641756793202508	0.5081639392489746	1.4522704621929417e-08	0.11527856098101243
3973	AZIN1	POP1	0.5941066288810778	-0.06251219156885175	0.5041300446885908	1.968068094640383e-08	0.09793468488345784
4336	AZIN1	VCPIP1	0.8704707186920085	-0.0988129923085795	0.6075465217004798	1.9567175489697243e-12	0.10950617675178594
4367	AZIN1	YTHDF3	0.5481235023581607	-0.022017047213650442	0.536256671999095	1.561695888799654e-09	0.08301652799774724
4369	AZIN1	YWHAZ	0.5256362239377275	-0.11378680402342968	0.5201109064097511	5.766696371699951e-09	0.08305877577973356
4650	ANGPT1	DERL1	0.24950069162142108	-0.05765972112176737	0.5285293602278002	2.9432825794450463e-09	0.03856159395857497
4818	ANGPT1	GSDMD	0.5113714246425446	-0.115856153320013	0.5679471425771244	9.746923822238148e-11	0.07131006121953089
5117	ANGPT1	NUDCD1	0.6191586141180018	-0.09798029836982844	0.5299603427000862	2.62049423763469e-09	0.0953353591236776
5146	ANGPT1	PABPC1	0.774200363457677	-0.10660239997310336	0.5243788563137014	4.109961845356787e-09	0.120968795323616
5158	ANGPT1	PARP10	0.5624606289188391	-0.09994200280200548	0.5092630430015983	1.3359379368638515e-08	0.091462894502726
