	CNV	Protien	slope	intercept	rValue	pValue	stdErr
251	ADCY8	FAM84B	0.1001185377093288	0.18128008008440313	0.564086579201866	1.6888535261911597e-10	0.014167961133323968
252	ADCY8	FAM91A1	0.2006624183941069	0.11033420677827574	0.5155199284333142	9.680596753384936e-09	0.03224389359970702
447	ADCY8	NUDCD1	0.16440419008592141	0.13893038363982457	0.5648192379815403	1.5807190248566602e-10	0.02322086775425959
478	ADCY8	PHF20L1	0.24578842212179794	0.16927109217533884	0.6157202134232853	1.0393980025392313e-12	0.030408358098679932
524	ADCY8	PTK2	0.1307577180965685	0.20446721509540589	0.546369923551301	7.973492797159043e-10	0.0193774344957643
654	ADCY8	TATDN1	0.15457497335579315	0.16533717439116555	0.5313982806904232	2.763336469432726e-09	0.023821722595267603
807	AGO2	AGO2	0.2507354859965267	0.23278608991886363	0.5613697148395839	2.1554904071388175e-10	0.03573362846272265
1122	AGO2	FZD6	0.09708920464468883	0.23040471110568198	0.5341013456979876	2.217785990114973e-09	0.014856897796927726
1207	AGO2	HSF1	0.17703539445249064	0.13818492310815245	0.5406196285661564	1.2944944448900305e-09	0.026632401838806188
1419	AGO2	NUDCD1	0.19296179846758604	0.12627713829435291	0.6772784867117868	6.159614771313628e-16	0.020264165121720794
1471	AGO2	PHF20L1	0.2063667590376374	0.16859588670532744	0.5281546129516217	3.5887855720990807e-09	0.03207526718368042
1550	AGO2	PTK2	0.15873754252821035	0.2038069116947595	0.6776390859224419	5.866101404807043e-16	0.016653663032343315
1609	AGO2	RIDA	0.08854710624710113	0.191214378190769	0.5495774196308318	6.060678898935709e-10	0.013012786970041185
1647	AGO2	SCRIB	0.15571950073818397	0.15073390540743248	0.6334553072236411	1.4480677283733798e-13	0.018388750939657226
1721	AGO2	SQLE	0.1155113764219127	0.26373654249518264	0.5480813306079186	6.890375633706955e-10	0.017041777441035605
1732	AGO2	STK3	0.12452665756788472	0.1664448450769566	0.5739325482768854	6.846236494860329e-11	0.01717678285222963
1748	AGO2	TAF2	0.2232115066655856	0.17723370325271265	0.5844394462413884	2.52582780145854e-11	0.029959885600363365
1769	AGO2	THEM6	0.10863236374499682	0.21725767756941944	0.5307142718397179	2.920590443766614e-09	0.016771515697401127
2303	ANKRD46	EBAG9	0.15279693606124645	0.22651175063642418	0.5800829556111137	3.835565761562596e-11	0.02074217755747731
2355	ANKRD46	FAM84B	0.12084858376943244	0.22640761271187318	0.5728024204157803	7.605408204645364e-11	0.01671846144865842
