	CNV	Protien	slope	intercept	rValue	pValue	stdErr
287	ADCY8	FAM84B	0.6390182201768466	0.4448926584645692	0.5964505070202966	4.212223889555523e-09	0.09675009855674853
674	ADCY8	PTK2	0.896101111978238	0.4009424063671821	0.6411686068330114	1.1327343052938801e-10	0.12066825617338207
845	ADCY8	TMEM65	0.48228672623913055	0.38402532079845764	0.6036593326525693	2.4417084558897507e-09	0.07166221381876778
1074	CCDC166	C8orf82	0.4174906005133251	0.5131555061236346	0.6238456401334651	4.921554468034254e-10	0.058845252940585055
1326	CCDC166	HSF1	0.8949881366783259	0.3921131225278259	0.7569664880027798	2.956217852977659e-16	0.08692443976244403
1453	CCDC166	MROH1	0.525418593171145	0.3956851904835347	0.5891708338659468	7.2077473720120376e-09	0.08107119582061192
1597	CCDC166	PPP1R16A	0.4902775087130575	0.5814705653020924	0.644348324606845	8.562736687994737e-11	0.06546618913651198
1623	CCDC166	PTK2	0.9569370509927765	0.3564662940293305	0.7247278732561632	2.03201546483499e-14	0.10236141241896039
1629	CCDC166	PUF60	0.8457790937624854	0.42845870620723514	0.6139083986418387	1.0981736403110636e-09	0.12235576692142232
1630	CCDC166	PUF60.1	0.84740105386461	0.42831327468954555	0.6147517443250914	1.0269755926400357e-09	0.12232040380609518
1631	CCDC166	PYCR3	0.5792484086620712	0.42642451825372235	0.6890029503199484	1.1562652838927275e-12	0.06855254156407782
1674	CCDC166	SCRIB	0.7379015176975999	0.5028561867194068	0.7087825332573744	1.3298235779858174e-13	0.08262737566113282
1675	CCDC166	SCRIB.1	0.7393294783087744	0.5018064372186214	0.7092020206869065	1.2677434218272665e-13	0.08268884078453696
1785	CCDC166	TMEM65	0.4490976167460989	0.35537855334862023	0.5949818548713804	4.699419188600419e-09	0.06825564845872674
2183	AGO2	HSF1	0.8360098609262175	0.3654978915095078	0.6753626910927618	4.662007904829875e-12	0.10271040077113296
2427	AGO2	PTK2	0.9753546765148574	0.3224460772063386	0.7055380755051341	1.9193511699592367e-13	0.11022341224249521
2435	AGO2	PYCR3	0.5145524023960862	0.39959051623205194	0.5845910112086492	1.0037786656988273e-08	0.08034529879443351
2470	AGO2	SCRIB	0.6534140533195631	0.4673962017439247	0.5994726372459355	3.3569520552929127e-09	0.0981544657386018
2471	AGO2	SCRIB.1	0.6538128605642722	0.46643060402626646	0.5990343016989093	3.4698030575945556e-09	0.09832653216407934
2570	AGO2	TMEM65	0.4930081329272599	0.3122558768313227	0.623854547886549	4.917952309435629e-10	0.06948781618956523
