,,high,neutral,low,average
7SK,ENSG00000232512.2,9.0,95.0,18.0,0.018672131147540988
7SK,ENSG00000249352.3,8.0,83.0,31.0,-0.06808196721311478
7SK,ENSG00000254144.2,56.0,59.0,7.0,0.5023360655737702
7SK,ENSG00000260682.2,5.0,54.0,63.0,-0.23155737704918025
7SK,ENSG00000271765.1,13.0,86.0,23.0,0.014934426229508196
7SK,ENSG00000271818.1,3.0,69.0,50.0,-0.1758934426229509
A1BG,ENSG00000121410.7,17.0,91.0,14.0,0.05481147540983607
A1CF,ENSG00000148584.9,9.0,98.0,15.0,0.03721311475409835
A2M,ENSG00000175899.10,17.0,90.0,15.0,0.08138524590163936
A2ML1,ENSG00000166535.15,16.0,91.0,15.0,0.06689344262295083
A2MP1,ENSG00000256069.3,17.0,92.0,13.0,0.0981311475409836
A3GALT2,ENSG00000184389.8,6.0,84.0,32.0,-0.05930327868852458
A4GALT,ENSG00000128274.11,7.0,80.0,35.0,-0.09968852459016393
A4GNT,ENSG00000118017.3,17.0,100.0,5.0,0.08962295081967217
AAAS,ENSG00000094914.8,5.0,96.0,21.0,-0.043213114754098364
AACS,ENSG00000081760.12,5.0,94.0,23.0,-0.023918032786885243
AACSP1,ENSG00000250420.4,9.0,90.0,23.0,-0.02042622950819674
AADAC,ENSG00000114771.8,26.0,92.0,4.0,0.15222131147540988
AADACL2,ENSG00000197953.5,26.0,92.0,4.0,0.15222131147540988
AADACL3,ENSG00000188984.7,2.0,72.0,48.0,-0.1746311475409836
AADACL4,ENSG00000204518.2,2.0,75.0,45.0,-0.1635901639344262
AADAT,ENSG00000109576.9,7.0,91.0,24.0,-0.05369672131147541
AAED1,ENSG00000158122.7,3.0,96.0,23.0,-0.06826229508196725
AAGAB,ENSG00000103591.8,3.0,99.0,20.0,-0.07052459016393442
AAK1,ENSG00000115977.14,11.0,100.0,11.0,0.03495081967213116
AAMDC,ENSG00000087884.10,19.0,86.0,17.0,0.21954098360655733
AAMP,ENSG00000127837.5,8.0,90.0,24.0,-0.0357622950819672
AANAT,ENSG00000129673.5,24.0,79.0,19.0,0.10270491803278683
AAR2,ENSG00000131043.7,33.0,86.0,3.0,0.17095901639344258
AARD,ENSG00000205002.3,69.0,51.0,2.0,0.6328196721311471
AARS,ENSG00000090861.11,7.0,53.0,62.0,-0.19135245901639353
