	CNV	Protien	slope	intercept	rValue	pValue	stdErr
204	AGO2	C8orf82	0.21982686564633097	0.08035719892966328	0.6483298582546658	1.2203721423240541e-12	0.0267690575458474
672	AGO2	HGH1	0.32053600791900383	0.047153598062436505	0.5855847249940658	4.572441335244683e-10	0.046010633605467505
702	AGO2	HSF1	0.3318721283459547	0.09181906121079775	0.5751792112682778	1.0847519749835983e-09	0.048943383760620456
1057	AGO2	NUDCD1	0.23263404176189106	0.01133095703704294	0.5606019360509747	3.4625478540758853e-09	0.03563299597458114
1080	AGO2	OPLAH	0.16747525730436388	0.032097357792894216	0.5520694449628155	6.657722614616242e-09	0.026228677126486397
1181	AGO2	PLEKHF2	0.2999999054062453	0.05716068434240994	0.5760106459715245	1.013522550294814e-09	0.04414750685701358
1265	AGO2	PTK2	0.34049028603989817	0.08816379196115823	0.595352091019252	1.9756629525826208e-10	0.04764927443234432
1284	AGO2	PYCR3	0.296140662674212	0.05199039899134268	0.5927983462865652	2.4670281022508886e-10	0.04171908269659899
1399	AGO2	SCRIB	0.2861280561031375	-0.004168179869719207	0.5813042150404194	6.547630793924421e-10	0.04153101132203749
1437	AGO2	SHARPIN	0.3527764987692626	0.07898765337583742	0.5841024638180842	5.180861541615398e-10	0.05083395986627691
1785	AGO2	YWHAZ	0.21246747028768526	0.06266248879251797	0.5707902509107113	1.547687512110457e-09	0.031693362178442194
2028	AARD	C8orf82	0.2351081617314462	0.09467747445824873	0.6062026206525285	7.520857022068811e-11	0.03198490005143866
2328	AARD	FAM91A1	0.4261479621635354	0.016048304244457676	0.5788225588285725	8.04379887373844e-10	0.06225478037430862
2471	AARD	HGH1	0.3767727460038944	0.05806135506063019	0.6017654432486206	1.1212370908348038e-10	0.05185369312589257
2850	AARD	NUDCD1	0.3075521060885893	0.009173977548589993	0.6479401330585007	1.2715500954341509e-12	0.03749050805522035
2869	AARD	OPLAH	0.20820821066156328	0.038636625305028566	0.6000338588852764	1.3081509601062152e-10	0.02878437609401404
2900	AARD	PARP10	0.33734013775859145	0.05816865759298548	0.5697781059690274	1.6786428780478561e-09	0.05045290463921101
3118	AARD	RIDA	0.16005158244853718	-0.0019582318816218636	0.567123208574561	2.074540641295364e-09	0.024103205297215248
3237	AARD	SNX7	-0.2068349650627343	0.07772185939696047	-0.5651988144025023	2.4158772132130345e-09	0.03130483043885628
3256	AARD	SQLE	0.20441486182392496	0.04040479557597534	0.5437743671445093	1.2354481476943284e-08	0.03271402759686389
3300	AARD	TAF2	0.4185636525427875	0.06703156281850613	0.5391628629467478	1.7297077750964612e-08	0.06779787628338835
3309	AARD	TATDN1	0.2729447973954707	0.06788465579776712	0.6000579766713354	1.3053530162112464e-10	0.03773171213067903
3794	C8orf76	C8orf82	0.22816769798949313	0.10364252070679951	0.5641308877484322	2.6278684250983434e-09	0.034629594044344895
3833	C8orf76	CDK12	0.49013136337765095	0.03249437359476931	0.5744419955098659	1.1519034349040766e-09	0.07242150602392469
4130	C8orf76	FAM91A1	0.45238909274543054	0.022390858133436956	0.589213614206566	3.3586475321206994e-10	0.06432755391841623
4288	C8orf76	HGH1	0.3631585262899133	0.0681883645004538	0.556185450644257	4.8680795680691904e-09	0.05626866220762344
4675	C8orf76	NUDCD1	0.2939771098094655	0.021556917340453258	0.593889033703203	2.244292227443551e-10	0.041296964978936056
4696	C8orf76	OPLAH	0.2109298208890844	0.04790673911091827	0.5828965761511266	5.732438031702318e-10	0.030489700092863805
4722	C8orf76	PARP10	0.35056264919049845	0.06737674455089161	0.567778569403321	1.969229627495318e-09	0.05270364858439097
4953	C8orf76	RIDA	0.1635016018320615	0.006168063560154022	0.5555396675415307	5.1146104606335976e-09	0.02537596178312512
5082	C8orf76	SNX7	-0.2203155938061539	0.08788876625584852	-0.5772954531761031	9.121989727496229e-10	0.03231324782757323
5100	C8orf76	SQLE	0.21954993826214675	0.04787436683905129	0.560035036724432	3.6183387666641558e-09	0.03367851001730072
5153	C8orf76	TAF2	0.4405949813729433	0.07654290626247152	0.5442188989514636	1.1956934102445362e-08	0.07042989494780466
5160	C8orf76	TATDN1	0.2922677960218305	0.07739675535831798	0.6161337119214414	3.0077281219435955e-11	0.03874299135890767
5413	C8orf76	YTHDF3	0.46028926248390883	0.0654219122846149	0.5391387288707885	1.73273375065456e-08	0.07456118971423178
5678	AZIN1	C8orf82	0.277321731670341	0.10494634142561916	0.6449413809201496	1.7408288405186726e-12	0.0340759073532427
6545	AZIN1	OPLAH	0.21039236985645246	0.04419903933678201	0.5468826271511468	9.819030113541104e-09	0.03339861224819858
6650	AZIN1	PLEKHF2	0.3692819689425533	0.07569566950751115	0.559098824939332	3.890414938037263e-09	0.0567852443866638
6849	AZIN1	RRM2B	0.30857017289791616	0.019560164002638963	0.5707382267567853	1.5541728629503882e-09	0.046035039722453146
6870	AZIN1	SCRIB	0.3502402720495608	0.0006278276573619263	0.5610869832695026	3.3343681302250205e-09	0.053579319739307345
6955	AZIN1	SNX7	-0.23569170795454722	0.08464985991162685	-0.5809086247889842	6.766772805886738e-10	0.03424544001589318
6998	AZIN1	STAU2	0.44145713179687573	0.010583983088417973	0.6577047882079908	4.4608343590207e-13	0.052428818080163815
7000	AZIN1	STK3	0.32993935438051486	0.13593892668241875	0.5415394032711657	1.4552233009610315e-08	0.05311178611049229
7320	AZIN1	YTHDF1	0.42788637795846224	0.05148471560755173	0.5395742437556226	1.678897809613611e-08	0.06923343813056168
7322	AZIN1	YWHAZ	0.33428245201608736	0.08420863863797944	0.7081394073092653	1.0115119818528982e-15	0.03456230734126272
7593	BAALC	C8orf82	0.2631486163981526	0.09979352612196106	0.6610078211451985	3.1025567551452417e-13	0.030976596333719623
8489	BAALC	NUDCD1	0.2748929746142752	0.017877187330719503	0.5642027774213242	2.613055748380799e-09	0.04171341077248121
8510	BAALC	OPLAH	0.19864468942688676	0.04230225446359787	0.5577123586866503	4.329591494126852e-09	0.030656406866105768
8622	BAALC	PLEKHF2	0.3505678478165355	0.07203755040586002	0.5732865155346132	1.2652373155554938e-09	0.05195543378934995
8710	BAALC	PTK2	0.36992140802441675	0.10575483724757938	0.5508950553100959	7.2741803285303914e-09	0.058111788371954944
8725	BAALC	PYCR3	0.3294926501156559	0.06630837328054902	0.5617523821369127	3.1658997058860124e-09	0.05031821250818073
8826	BAALC	RRM2B	0.2761953190092683	0.021819649153072752	0.5517832324664432	6.803182657520404e-09	0.04328784018446385
8849	BAALC	SCRIB	0.3369661888181843	-0.00019180357036865936	0.5830685348273752	5.650474154402896e-10	0.0486863750884838
8887	BAALC	SHARPIN	0.3966821430308887	0.0965994935894914	0.5593997849992414	3.800884389827682e-09	0.06095087838492438
