	CNV	Protien	slope	intercept	rValue	pValue	stdErr
33	AGO2	AGO2	0.7326540387417136	-18.557538518490066	0.5619542071467938	3.016998034659948e-10	0.10524398327094892
512	AGO2	GZMH	-0.14930265214189253	3.5638433607791713	-0.511360390125595	1.8176446062679442e-08	0.024486354943877457
554	AGO2	HSF1	0.6451676549036374	-15.915985211912668	0.6221177635876084	8.526450898378311e-13	0.07923640499732224
973	AGO2	PTK2	0.5307357498380076	-13.914031589808165	0.7277534853254092	6.731445767214847e-19	0.048811421092787084
992	AGO2	PYCR3	0.43459305482917315	-10.490235893293724	0.6071152974698649	4.137412641327935e-12	0.055510230838437424
2281	ADCY8	PYCR3	0.3669782676119275	-8.823960971352761	0.5225137151928244	7.796650021864069e-09	0.05843984557789129
2485	ADCY8	TATDN1	0.3723074145779674	-9.13730664552383	0.5141568964924433	1.4742694051735345e-08	0.06061007634127982
2682	APCDD1L	ARFGEF2	0.36023702679191366	-8.91832613247787	0.5514598440274922	7.47137030181165e-10	0.053180294850456895
2684	APCDD1L	ARFRP1	0.22303015371163418	-5.2339777425921685	0.5191069715690494	1.0129699732920657e-08	0.03583690468981396
2926	APCDD1L	MOCS3	0.37498835592832686	-9.149249533734077	0.645631691348698	6.007089802305773e-14	0.04328446479343373
3033	APCDD1L	PTPN1	0.28013682303724896	-7.35476162325799	0.5210505889574994	8.727468288496457e-09	0.0447829098807759
3065	APCDD1L	RTF2	0.2896610634916834	-7.404473856958391	0.5662790407847861	2.0570284908175156e-10	0.04114383376280826
3114	APCDD1L	STAU1	0.36854823456639685	-9.776347621441698	0.606930747420991	4.2164195052938756e-12	0.04709704540111619
3156	APCDD1L	TPD52L2	0.29470859491195284	-8.083405566192209	0.557778637077327	4.3442477679458877e-10	0.042796574297409413
3180	APCDD1L	VAPB	0.24705525643185813	-6.514394974622395	0.5309174350038343	4.036850115608986e-09	0.03848336072159898
3195	APCDD1L	ZGPAT	0.3281620838933366	-7.64235283765054	0.560365953051255	3.4678572307963065e-10	0.047334838856996915
3240	ABHD16B	ARFGEF2	0.41442005791075476	-10.265257022905864	0.5587449372983145	3.9945414630204397e-10	0.06002952336359266
3470	ABHD16B	MOCS3	0.3980552851330188	-9.712494738865967	0.603611829038295	5.912644519534193e-12	0.051309876746469564
3659	ABHD16B	STAU1	0.3715999899008977	-9.854693179117085	0.5389739658084457	2.111346028289293e-09	0.056675011647099295
3704	ABHD16B	TPD52L2	0.32279342206690187	-8.856104593965691	0.5380728026663365	2.2720255975733613e-09	0.04934739125787822
3754	ABHD16B	ZGPAT	0.417900509935138	-9.744789076610047	0.6284974651696905	4.244348886572637e-13	0.05047184204447963
4520	ABRA	NUDCD1	0.41895701772308686	-10.37635585903115	0.5442218915540864	1.3714564737086034e-09	0.06302754566467152
5053	ABRA	YTHDF3	0.5330354607422217	-13.758565617960999	0.5550873323871938	5.480428156194181e-10	0.0779497835074625
5445	ADRM1	MOCS3	0.3742534529079126	-9.143470026397166	0.6036072133626399	5.915409300695524e-12	0.04824236799692412
5496	ADRM1	OSBPL2	0.263933628350333	-6.551725654384343	0.5355676815857575	2.7827372526445756e-09	0.04061452841192133
5612	ADRM1	RTF2	0.2971237320467428	-7.608977275689723	0.5441257213687793	1.3824353604836906e-09	0.04471027171302036
5674	ADRM1	STAU1	0.34931429416613313	-9.275410910353454	0.5388683913034225	2.1295902690490865e-09	0.05329079316199055
5716	ADRM1	TPD52L2	0.3052614924108305	-8.387169145650386	0.5412060535771295	1.758959105055828e-09	0.04628645503081875
5804	CDH26	ARFGEF2	0.3626873714671362	-8.977963432407009	0.5515048813099832	7.442848228781511e-10	0.05353574581120529
