,gene,chromosome
0,A1BG,['Chromosome 19']
1,A1CF,['Chromosome 10']
2,A2M,['Chromosome 12']
3,A2ML1,['Chromosome 12']
4,A3GALT2,['Chromosome 1']
5,A4GALT,['Chromosome 22']
6,A4GNT,['Chromosome 3']
7,AAAS,['Chromosome 12']
8,AACS,['Chromosome 12']
9,AADAC,['Chromosome 3']
10,AADACL2,['Chromosome 3']
11,AADACL3,['Chromosome 1']
12,AADACL4,['Chromosome 1']
13,AADAT,['Chromosome 4']
14,AAED1,['Chromosome 9']
15,AAGAB,['Chromosome 15']
16,AAK1,['Chromosome 2']
17,AAMDC,['Chromosome 11']
18,AAMP,['Chromosome 2']
19,AANAT,['Chromosome 17']
20,AAR2,['Chromosome 20']
21,AARD,['Chromosome 8']
22,AARS,['Chromosome 16']
23,AARS2,['Chromosome 6']
24,AARSD1,['Chromosome 17']
25,AASDH,['Chromosome 4']
26,AASDHPPT,['Chromosome 11']
27,AASS,['Chromosome 7']
28,AATF,['Chromosome 17']
29,AATK,['Chromosome 17']
30,ABAT,['Chromosome 16']
31,ABCA1,['Chromosome 9']
32,ABCA10,['Chromosome 17']
33,ABCA11P,['Unplaced']
34,ABCA12,['Chromosome 2']
35,ABCA13,['Chromosome 7']
36,ABCA2,['Chromosome 9']
37,ABCA3,['Chromosome 16']
38,ABCA4,['Chromosome 1']
39,ABCA5,['Chromosome 17']
40,ABCA6,['Chromosome 17']
41,ABCA7,['Chromosome 19']
42,ABCA8,['Chromosome 17']
43,ABCA9,['Chromosome 17']
44,ABCB1,['Chromosome 7']
45,ABCB10,['Chromosome 1']
46,ABCB11,['Chromosome 2']
47,ABCB4,['Chromosome 7']
48,ABCB5,['Chromosome 7']
49,ABCB6,['Chromosome 2']
50,ABCB7,['Chromosome X']
51,ABCB8,['Chromosome 7']
52,ABCB9,['Chromosome 12']
53,ABCC1,['Chromosome 16']
54,ABCC10,['Chromosome 6']
55,ABCC11,['Chromosome 16']
56,ABCC12,['Chromosome 16']
57,ABCC2,['Chromosome 10']
58,ABCC3,['Chromosome 17']
59,ABCC4,['Chromosome 13']
60,ABCC5,['Chromosome 3']
61,ABCC6,['Chromosome 16']
62,ABCC8,['Chromosome 11']
63,ABCC9,['Chromosome 12']
64,ABCD1,['Chromosome X']
65,ABCD2,['Chromosome 12']
66,ABCD3,['Chromosome 1']
67,ABCD4,['Chromosome 14']
68,ABCE1,['Chromosome 4']
69,ABCF1,['Chromosome 6']
70,ABCF2,['Chromosome 7']
71,ABCF3,['Chromosome 3']
72,ABCG1,['Chromosome 21']
73,ABCG2,['Chromosome 4']
74,ABCG4,['Chromosome 11']
75,ABCG5,['Chromosome 2']
76,ABCG8,['Chromosome 2']
77,ABHD1,['Chromosome 2']
78,ABHD10,['Chromosome 3']
79,ABHD11,['Chromosome 7']
80,ABHD12,['Chromosome 20']
81,ABHD12B,['Chromosome 14']
82,ABHD13,['Chromosome 13']
83,ABHD14A,['Chromosome 3']
84,ABHD14B,['Chromosome 3']
85,ABHD15,['Chromosome 17']
86,ABHD16A,['Chromosome 6']
87,ABHD16B,['Chromosome 20']
88,ABHD17A,['Chromosome 19']
89,ABHD17B,['Chromosome 9']
90,ABHD17C,['Chromosome 15']
91,ABHD18,['Chromosome 4']
92,ABHD2,['Chromosome 15']
93,ABHD3,['Chromosome 18']
94,ABHD4,['Chromosome 14']
95,ABHD5,['Chromosome 3']
96,ABHD6,['Chromosome 3']
97,ABHD8,['Chromosome 19']
98,ABI1,['Chromosome 10']
99,ABI2,['Chromosome 2']
100,ABI3,['Chromosome 17']
101,ABI3BP,['Chromosome 3']
